"Practise","Cost"
"M85063",497235.73
"C83019",487360.599999999
"Y01008",471624.92
"K83002",461385.58
"G82071",442071.61
"B82005",439859.49
"N83028",398572.41
"C84024",374660.97
"J82155",359274.05
"C84001",351300.34
"C82038",348175.2
"Y00159",347776.47
"D82044",339490.83
"C81024",329497.39
"C83064",317827.32
"H81133",315488.93
"J81006",313881.98
"D83060",312956.54
"J82056",312733.27
"L85008",312054.44
"A83022",309243.3
"C83022",299220.46
"H81013",295482.89
"A82044",292859.35
"A83018",291639.92
"B82026",290773.37
"C83063",284484.31
"C84017",284435.22
"F81081",283417.83
"N81087",282297.15
"G81041",282104.62
"M87024",275593.56
"B86044",275296.39
"C82009",275261.57
"B82025",274742.89
"B83055",273771.6
"A81002",271666.25
"C83026",271169.04
"B82050",267274.24
"C87005",263486.65
"M87011",261710.76
"D82051",261174.81
"G81029",260245.6
"P82015",260241.05
"G81039",259975.12
"L81079",258497.07
"A84028",258082.17
"H82017",256490.32
"N81032",255303.84
"K82073",253649.2
"A81034",253646.96
"A86003",249965.95
"D81008",249884.07
"D83009",249087.19
"B84006",248674.28
"L83016",248224.2
"P92016",246908.16
"C83023",246815.86
"E82040",245915.15
"B87016",243266.18
"P81036",241665.51
"P85008",239099.69
"B81026",238721.31
"P85013",238242.58
"D82034",238231.76
"M84019",236584.77
"J82094",235453.96
"B87026",234804.16
"A83045",234405.24
"M89017",234384.07
"G82090",233337.16
"B81040",232836.13
"C87002",232775.05
"C83045",232765.16
"M88018",231698.71
"B81008",231031.95
"B86016",229162.74
"M82039",228962.81
"A81017",228696.23
"L84050",228584.53
"M82010",228210.93
"K81022",228071.93
"K83041",227923.3
"D82011",227254.3
"P81029",226278.03
"A81036",225875
"D82001",225703.46
"K82023",223408.34
"P81100",222743.89
"C83040",222702.23
"F81052",222090.99
"P81072",221488.5
"M82029",221482.51
"L83067",221167.25
"A89001",221156.11
"G81022",221154.25
"F81030",220899.86
"J82139",220840.73
"D82071",220558.61
"B81061",220541.65
"B81039",220361.39
"A87004",220195.33
"C85004",220032.92
"B85019",219717.34
"G82119",219560.58
"L83013",219221.6
"C84029",219189.55
"M82004",219077.93
"M85028",218812.75
"B81005",218635.53
"A83012",218566.05
"B84004",218537.39
"D82058",218471.78
"M87009",218354.41
"L85016",217393.45
"J82130",217025.02
"J83035",216731.25
"J83040",216007.06
"A84036",215656.5
"A85008",214541.79
"A85020",214253.05
"J81005",214141.87
"P91018",213528.23
"J82144",212706.59
"M84001",212310.07
"M88004",212135.28
"M81006",211934.84
"Y02423",211903.24
"F81132",211818.38
"G82060",211603.59
"B81004",211509.18
"L82012",211397.55
"C86029",210431.33
"B82017",209976.01
"H82066",209906.39
"P81734",209840.84
"N83009",208795.03
"F81017",208790.42
"L82023",208691.21
"M83004",207381.89
"J82026",207110.59
"A83021",206889.52
"P81087",206839.99
"K83021",206681.21
"J81027",206461.73
"B81022",206290.43
"K81047",206178.36
"B86057",206074.71
"P82008",205884.64
"H81076",205854.87
"E82005",205406.29
"D83044",204810.6
"A81026",204758.74
"A84043",204474.55
"D83048",204472.319999999
"B81037",204436.92
"E82074",204162.45
"K84027",204132.54
"F81068",204048.15
"G82114",203620.42
"E82091",203511.01
"D82064",203435.57
"F81123",203082.25
"K81075",203047.15
"N84021",203019.68
"N81082",202940.48
"B81025",202914.25
"M83006",202794
"B82041",202747.41
"C88010",202010.92
"H82034",201815.23
"H82045",201640.45
"E81032",201398.23
"L83083",201387.67
"L82030",201271.9
"J83030",201201.25
"P86003",201086.44
"B81015",200599.55
"C88072",200047.23
"G82037",199967.04
"D82045",199112.61
"N81053",198869.46
"B81043",198615.17
"A84003",198557.93
"D83002",198523.72
"A83010",198427.03
"D82054",198407.04
"C82024",198367
"F83023",198349.13
"C81029",198283.1
"G82097",198059.81
"M88013",197974.7
"A82017",197729.45
"D83012",197239.47
"D82003",197156.07
"A82012",197136.88
"A83037",197064.06
"G81003",196885.22
"J82069",196339.44
"D83005",195674.81
"P86007",195547.08
"B85028",195420.77
"B87008",195404.63
"M81004",195317.5
"G82014",195079.78
"G82021",194980.76
"L83045",194915.53
"D83051",194865.28
"D82004",194761.63
"G82105",194241.68
"P81044",193774.98
"N82011",193701.25
"J83018",193638.38
"K83032",193637.8
"A82016",193002.8
"E82085",192795.13
"C86019",192702.18
"N83001",192524.32
"B82080",192519.91
"N81020",192503.02
"L83101",192074.8
"B87023",191729.44
"A81021",191724.17
"E82019",191673.84
"A83025",191575.38
"C81051",191511.46
"A83054",191484.52
"J83008",191097.67
"B81068",190636.58
"H82030",190574.39
"G82135",190451.6
"B82074",190336.52
"A82035",190313.08
"M84023",190081.15
"L84009",190075.71
"J82007",189843.86
"D83037",189668.56
"G83067",189348.9
"M81057",189318.97
"F81014",189265.23
"H82043",189196.18
"B86050",189171.51
"N81062",189092.95
"P81089",188941.1
"J81041",188920.28
"K81073",188710.12
"D81034",188707.22
"M83069",188665.87
"M87003",188589.24
"D83055",188443.74
"C86018",188257.05
"F81037",188203.65
"F81022",187952.16
"G83053",187753.08
"B87011",187683.31
"H81017",187441.16
"G82059",187427.99
"P81073",187353.22
"B87021",187273.29
"L83093",187206.52
"J82154",187141.48
"N81045",186882.81
"C83003",186846.09
"F81067",186349.14
"P82016",186265.31
"P89015",186173.52
"G82666",186117.3
"C82010",185978.11
"B83021",185867.11
"A83020",185841.76
"C86001",185683.58
"J82035",185399.92
"M88003",185383.84
"P91021",185365.45
"M82009",184612.55
"M92009",184590.66
"F81125",184511.19
"B86015",184222.85
"H82011",184156.47
"L83005",184087.7
"H82057",183952
"B83033",183882.69
"M83052",183639.65
"J82166",183544.94
"B81053",183518.91
"J84015",183142.54
"D82029",182561.24
"P81027",182291.56
"C85020",182242
"F81099",182160.85
"P91604",182011.26
"Y02354",181981.87
"N81027",181842.25
"J82010",181716.79
"P92010",181673.6
"C81033",181475.61
"P82007",181264.67
"M81056",181044.08
"D82048",180999.94
"N82018",180786.16
"D83008",180757.48
"F81043",180673.79
"M85026",180565.18
"L81004",180559.93
"M91019",180544.19
"C81012",180517.4
"N85008",180466.23
"L83103",180242.38
"G82057",179862.21
"B86067",179757.76
"G82032",179753.05
"C82018",179598.33
"A82008",179480.67
"N82037",179434.71
"M82028",179411.74
"M81008",179352.5
"H81056",179194.12
"A81044",179128.08
"G82042",179120.59
"K83052",178944.52
"P81067",178908.32
"C84120",178722.31
"N81068",178675.45
"A87009",178275.33
"G81004",178212.13
"N82053",178152.51
"A82026",177787.77
"H81003",177778.36
"F81097",177777.77
"A86025",177775.5
"M83094",177591.46
"N81047",177531.25
"P81123",177531.02
"B81109",177355.98
"F81087",177258.1
"C88069",177235.17
"P81664",177184.88
"A89004",177133.36
"A82020",177123.77
"H81062",177044.12
"D81006",176617.24
"F81027",176546.42
"M83082",176322.92
"G82161",176080.73
"M83001",175893.74
"M81040",175847.54
"F81100",175790.23
"M85033",175690.21
"D82005",175661.46
"B81003",175399.63
"C87008",175360.38
"P81076",175325.54
"J81073",175197.43
"A81046",175137.68
"M83072",175076.05
"D81046",174694.83
"B82097",174487.33
"F81105",174458.83
"B81036",174270.53
"L83095",174035.13
"N81019",173555.63
"C83017",173172.35
"H82025",173125.54
"P85016",173096.86
"M84043",173076.22
"P81013",173039.77
"C85007",172980.86
"L81031",172879.94
"H82058",172851.6
"E81037",172722.53
"J82104",172701.49
"K84028",172634.51
"A83016",172596.82
"L83004",172475.26
"J81014",172465
"K84040",172329.01
"F86627",172219.3
"H81032",171675.22
"B82028",171668.57
"M82022",171541.68
"G82050",171471.64
"C81032",171452.48
"M81068",171424.48
"L83053",171286.75
"C84021",171228.35
"B82013",171142.47
"P91006",171104.16
"N81084",170931
"A84009",170910.31
"M83062",170904.58
"E82099",170730.38
"A83047",170656.11
"N81048",170603.33
"D81014",170530.71
"N83008",170478
"Y02517",170403.37
"C81072",170369.65
"K83051",170332.98
"L83035",170295.64
"A89017",170252.47
"N81057",170214.8
"K83026",170080.68
"F81075",170029.04
"G82126",169716.31
"A88013",169675.72
"Y01794",169621.93
"P81057",169520.11
"M81022",169421.66
"B87013",169293.73
"H82007",169192.59
"G82083",169064.09
"A82032",168893.43
"E84024",168563.6
"H82042",168541.5
"F86010",168388.81
"G82160",168236.75
"P91014",168232.24
"B82083",168101.02
"B86003",168042.27
"D82063",168029.69
"M81038",167934.26
"P88013",167743.01
"N83019",167711.3
"M81058",167664.8
"K83010",167654.24
"D82059",167649.19
"J83041",167587.13
"P81063",167520.65
"P89014",167428.44
"J82132",167280.03
"N81075",167049.74
"H81042",167007.64
"K84037",166899.74
"A83051",166833.23
"M81019",166431.1
"P84029",166245.51
"A86011",165886.07
"E82032",165850.1
"M83032",165736.75
"G82007",165704.58
"L83055",165704.38
"B81010",165691.4
"K81006",165618.53
"E81033",165609.47
"C84012",165595.69
"L83078",165564.53
"H82038",165416.23
"G82006",165357.28
"E83032",165022.04
"M86003",165014.17
